event_group_id,event_leg_id,issuer_code,issuer_name,sale_route,announce_datetime,needs,disclosure_time,after_close,time_source,pricing_date,offer_price_JPY,OA_exercised_shares,timestamp_hint,source_docs_to_obtain,leak_date,absorption_route,offering_type,seller_type,note
G011,L001,2871,ニチレイ,secondary_offering,,一次資料未取得(全項目),15:30,,nikkei_nkd,2026-01-19,1791,,報道のみ→一次PDF先,announcement/条件決定PDF一式,,,domestic_bookbuild,mixed,announce=2026-01-08。dt15:30=姉妹PDF(株主優待)採用・分は推定/境界。みずほ/三菱UFJ/農中/損ジャ/東京海上/三井住友/三井住友信託/安田倉庫8社。政策保有A
G012,L001,6269,三井海洋開発株式会社,secondary_offering,2024-05-14,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,15:47,,pdf_header,2024-05-22,2636,,,EDINET S100TH02,,,global_offering,parent_or_affiliate,三井E&S(筆頭株主40.5→3.7%持分法除外)の戦略保有売却。dt=開示PDF ModDate15:47(分は軟・引け後は確実)
G013,L001,8031,三井物産株式会社,secondary_offering,2024-06-24,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,,TRUE,,2024-06-25,7136,,,EDINET S100TRRY,,,overseas_ABB,financial_institutions,海外ABB=退化(6/25朝09:18条件決定)。三井住友海上11.725M+SMBC3.208M。after_close=ABBは引け後ローンチ通例(分単位一次未確認・要確認)
G014,L001,7936,株式会社アシックス,secondary_offering,2024-07-12,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,16:05,TRUE,nikkei_nkd,2024-07-23,2442.5,,,EDINET S100U3CO S100U4K6,,public_offering,global_offering,financial_institutions,"Task D自動下書き。EDINET暫定: 売出株数=46752200 / 発行価格=2442.5。政策保有はTDnetで確認済(include=Y)。 / 【転記2026-07 一次確認】アシックス グローバルオファリング。政策保有株全売却(日経明示)。発表2024-07-12 16:05・条件決定7/23 16:45(下書き7/30は誤り)。総数73,916,500(下書き46.75Mは海外分のみ)。src:nikkei tdnr 20240712548658/20240723553440"
G015,L001,4543,テルモ株式会社,secondary_offering,2024-08-29,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,16:10,TRUE,nikkei_nkd,2024-09-10,2493.5,,,EDINET S100UCP4 S100UCQY S100UD0W,,public_offering,overseas_bookbuild,financial_institutions,Task D自動下書き。EDINET暫定: 売出株数=73211900 / 発行価格=2493.5。政策保有はTDnetで確認済(include=Y)。 / 【転記2026-07 一次確認】テルモ 全数海外売出(多日BB=ABBでない)。株主構成見直しで7社売却。発表2024-08-29 16:10・条件決定9/10 16:50(下書き9/12は誤り)。同時に自己株買い(上限300億)・消却。src:terumo.co.jp 20240829_4543/irbank
G016,L001,4732,株式会社ユー・エス・エス,secondary_offering,2024-10-07,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,,TRUE,,2024-10-16,1250.5,,,EDINET S100UJNO,,,domestic_bookbuild,bank,三菱UFJ銀(野村信託退給口)。翌10/8反落で引け後確定(発表分単位未確認・要確認)。自己株買い100億/1000万株併走(別leg余地)
G017,L001,9503,関西電力株式会社,secondary_offering,2024-11-13,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,,,,2024-11-26,,,,EDINET S100URBS S100UUIL,,,,,Task D自動下書き。EDINET暫定: 売出株数=29097900 / 発行価格=—。政策保有はTDnetで確認済(include=Y)。
G018,L001,2269,明治ホールディングス株式会社,secondary_offering,2024-11-22,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,16:00,,nikkei_nkd,2024-12-03,3116,,,EDINET S100UW3H,,,global_offering,financial_institutions,金融12社(りそな/三菱UFJ信託/農中/三菱UFJ銀/三井住友信託/みずほ/日本カストディ/三井住友銀/SMBC信託)。政策保有縮減A
G019,L001,3003,ヒューリック株式会社,secondary_offering,2024-11-27,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,16:00,,nikkei_nkd,2024-12-10,1337.5,,,EDINET S100UXF1,,,global_offering,mixed,損保ジャパン42.2M全量+東京海上日動21.3M全量+東京建物+大成建設+沖電気。政策保有縮減A
G020,L001,8136,株式会社サンリオ,secondary_offering,2024-11-26,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,16:00,TRUE,tdnet,2024-12-10,4540,,,EDINET S100UXF7 S100UYFS,,public_offering,domestic_bookbuild,bank,Task D自動下書き。EDINET暫定: 売出株数=25871800 / 発行価格=4540。政策保有はTDnetで確認済(include=Y)。 / 【転記2026-07 一次確認】サンリオ 国内BB+海外。開示に「政策保有株式の縮減」明記。発表2024-11-26 16:00(TDnet生pubdate)・条件決定12/10 17:15(下書き12/17は受渡日で誤り)。売り手=3メガ+創業家。src:yanoshin tdnet/nikkei
G021,L001,6981,株式会社村田製作所,secondary_offering,2025-01-15,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,15:31,TRUE,nikkei_nkd,2025-01-16,2309,,,EDINET S100V3HW,,public_offering,overseas_ABB,financial_institutions,"Task D自動下書き。EDINET暫定: 売出株数=61304900 / 発行価格=2309。政策保有はTDnetで確認済(include=Y)。 / 【転記2026-07】村田 海外売出。発表2025-01-15 15:31(EDINET臨時報告書, IRBANK)・株探フラッシュ16:21・ロイター同日=リーク無。条件決定1/16(訂正臨報9:00)。発行価格2,309円(日経開示・株探で確認)。売出61,304,900株(海外)。売出人=みずほ銀/三井住友海上/三井住友銀/損保ジャパン/三菱UFJ銀/滋賀銀=financial_institutions。overseas_ABB(発表→翌朝)。"
G022,L001,7182,株式会社ゆうちょ銀行,secondary_offering,2025-02-27,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,16:00,,nikkei_nkd,2025-03-10,1444,,,EDINET S100VBX9 S100VDFW S100VEUR,2025-02-26,,global_offering,parent_or_affiliate,"親会社日本郵政の子会社株売却(50%未満へ)。pricing訂正(旧2025-03-17は受渡日→条件決定2025-03-10)。leak=会社が2/26 14:45に一部報道について開示。自己株買いToSTNeT-3実績13,266,900株/200億+市場買付上限400億併走"
G023,L001,7269,スズキ株式会社,secondary_offering,2025-04-07,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,16:00,TRUE,nikkei_nkd,2025-04-14,1492,,,EDINET S100VM6J,,public_offering,global_offering,nonlife_insurer,"Task D自動下書き。EDINET暫定: 売出株数=21456900 / 発行価格=1492。政策保有はTDnetで確認済(include=Y)。 / 【転記2026-07 一次確認】スズキ 損保2社が政策保有全株売却。発表2025-04-07 16:00・条件決定4/14 17:35。総数95,709,000(下書き21.46Mは海外分のみ)。売り手=東京海上+損保ジャパン(下書きの銀行/トヨタ系は誤り)。src:irbank E02167/nikkei 20250414515691"
G024,L001,7202,いすゞ自動車株式会社,secondary_offering,2025-05-29,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,16:15,TRUE,nikkei_nkd,2025-06-10,1779.5,,,EDINET S100VWVR,,public_offering,global_offering,financial_institutions,"Task D自動下書き。EDINET暫定: 売出株数=8131000 / 発行価格=1779.5。政策保有はTDnetで確認済(include=Y)。 / 【転記2026-07 一次確認】いすゞ 金融12社(DBJ/東京海上ほか)売出し。会社目的は株主層拡大で政策保有縮減の明文なし→B。発表2025-05-29 16:15・条件決定6/10 17:15。総数29,279,000(下書き8.13Mは海外分のみ、売り手トヨタ/三菱商事は誤り)。src:isuzu.co.jp 20250529_1/20250610_1"
G025,L001,2282,日本ハム株式会社,secondary_offering,2025-07-02,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,17:32,TRUE,media,2025-07-15,4809,,,EDINET S100WD6B,,public_offering,overseas_bookbuild,financial_institutions,"Task D自動下書き。EDINET暫定: 売出株数=9087000 / 発行価格=4809。政策保有はTDnetで確認済(include=Y)。 / 【転記2026-07 一次確認】日本ハム 全量海外売出(多日BB)。政策保有見直しで金融9社が売却(明示)。発表2025-07-02 17:32(みんかぶ速報、開示はやや前・after_close確実)・条件決定7/15。総数9,535,900(下書き9.09M誤り、発行済9.6%)。src:nikkei/moneyworld PKP2194"
G026,L001,3635,株式会社コーエーテクモホールディングス,secondary_offering,2025-09-02,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,,,,2025-09-10,75.38,,,EDINET S100WMNN S100WNXH,,,,,Task D自動下書き。EDINET暫定: 売出株数=7000000 / 発行価格=75.38。政策保有はTDnetで確認済(include=Y)。
G027,L001,4816,東映アニメーション株式会社,secondary_offering,2025-09-10,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,16:28,,media,2025-09-12,2835,,,EDINET S100WOKI,,,overseas_bookbuild,business_company,フジ・メディアHD(4676)売り3.19%まで。海外売出T+2(9/12条件決定)。dt分は媒体gamebiz=確度B
G028,L001,7282,豊田合成株式会社,secondary_offering,2025-11-20,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,16:00,,nikkei_nkd,2025-12-01,3365,,,EDINET S100X7G9,,,global_offering,mixed,"トヨタ25,538,200+三井住友銀行4,207,800。トヨタ議決権40→20%。自己株買い500億/1000万株全数消却併走"
G029,L001,6058,株式会社ベクトル,secondary_offering,2026-01-06,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,,,,2026-01-06,1048,,,EDINET S100XE8J,,,,,Task D自動下書き。EDINET暫定: 売出株数=11726109 / 発行価格=1048。政策保有はTDnetで確認済(include=Y)。
G030,L001,1942,株式会社関電工,secondary_offering,2026-01-29,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,16:30,,nikkei_nkd,2026-02-16,6095,,,EDINET S100XIQD S100XLP1,,,domestic_bookbuild,parent_or_affiliate,東京電力パワーグリッド売り。自己株買い300億/750万株ToSTNeT-3併走。policy=B(TEPCO系事業関係先)
G031,L001,2432,株式会社ディー・エヌ・エー,secondary_offering,2026-05-14,offering: disclosure_time/after_close(TDnet) + offer/pricing/売出株数 一次確認,,,,2026-06-16,,,,EDINET S100YCJS,,,,,Task D自動下書き。EDINET暫定: 売出株数=16124000 / 発行価格=—。政策保有はTDnetで確認済(include=Y)。
